person_id,full_name,age,gender,role,risk_score
PER_0093,Zubair Nair,48,Male,Money Launderer,0.44
PER_0094,Pooja Mehta,39,Male,Associate,0.35
PER_0095,Tariq Gupta,24,Male,Kingpin,0.99
PER_0096,Manoj Kumar,60,Male,Kingpin,0.77
PER_0097,Priya Singh,20,Male,Smuggler,0.21
PER_0098,Rohan Pandey,32,Male,Money Launderer,0.78
PER_0099,Ananya Mishra,57,Female,Lieutenant,0.79
PER_0100,Ananya Malhotra,25,Male,Money Launderer,0.61
PER_0101,Farhan Das,64,Male,Smuggler,0.19
PER_0102,Rajesh Hussain,57,Male,Kingpin,0.41
PER_0103,Zubair Hussain,42,Male,Informant,0.11
PER_0104,Tariq Shah,25,Male,Informant,0.67
PER_0105,Sanjay Rao,28,Male,Money Launderer,0.65
PER_0106,Anil Mehta,46,Male,Money Launderer,0.39
PER_0107,Priya Patel,36,Female,Smuggler,0.77
PER_0108,Farhan Joshi,20,Male,Informant,0.26
PER_0109,Pooja Choudhury,35,Male,Money Launderer,0.59
PER_0110,Isha Patel,34,Male,Courier,0.59
PER_0111,Priya Rao,49,Male,Courier,0.5
PER_0112,Vihaan Patel,37,Male,Smuggler,0.37
PER_0113,Ajay Shah,54,Male,Associate,0.99
PER_0114,Sunil Choudhury,63,Male,Money Launderer,0.32
PER_0115,Rohan Pillai,31,Male,Enforcer,0.27
PER_0116,Anil Gupta,65,Male,Money Launderer,0.97
PER_0117,Isha Malhotra,33,Male,Money Launderer,0.11
PER_0118,Vikram Gupta,21,Female,Money Launderer,0.72
PER_0119,Vikram Ali,50,Male,Kingpin,0.61
PER_0120,Anil Shah,47,Male,Kingpin,0.32
PER_0121,Anil Reddy,23,Male,Lieutenant,0.61
PER_0122,Sai Nair,28,Male,Money Launderer,0.18
PER_0123,Priya Reddy,54,Male,Smuggler,0.79
PER_0124,Farhan Mehta,47,Male,Associate,0.37
PER_0125,Sai Mishra,25,Female,Smuggler,0.66
PER_0126,Suresh Hussain,24,Male,Enforcer,0.59
PER_0127,Ananya Sharma,45,Male,Courier,0.36
PER_0128,Neha Malhotra,64,Male,Courier,0.16
PER_0129,Neha Gupta,59,Male,Smuggler,0.48
PER_0130,Neha Ali,28,Female,Enforcer,0.16
PER_0131,Ananya Malhotra,57,Male,Money Launderer,0.49
PER_0132,Sanjay Rao,38,Male,Money Launderer,0.55
PER_0133,Dev Mehta,24,Male,Associate,0.75
PER_0134,Suresh Sharma,24,Male,Kingpin,0.99
PER_0135,Ramesh Pandey,21,Male,Enforcer,0.52
PER_0136,Bilal Gupta,30,Female,Associate,0.66
PER_0137,Dev Patel,49,Male,Informant,0.39
PER_0138,Kabir Khan,40,Male,Courier,0.36
PER_0139,Imran Yadav,21,Male,Informant,0.32
PER_0140,Rohan Das,51,Male,Kingpin,0.69
PER_0141,Sanjay Bose,22,Male,Informant,0.65
PER_0142,Dev Ali,47,Male,Smuggler,0.34
PER_0143,Vikram Malhotra,47,Female,Courier,0.21
PER_0144,Priya Rao,29,Male,Kingpin,0.59
PER_0145,Arjun Kumar,26,Male,Lieutenant,0.68
PER_0146,Rahul Shah,64,Male,Money Launderer,0.47
PER_0147,Anil Shah,34,Male,Enforcer,0.44
PER_0148,Vikram Patel,36,Male,Associate,0.4
PER_0149,Ramesh Sharma,37,Male,Courier,0.87
PER_0150,Bilal Yadav,49,Male,Associate,0.51
PER_0151,Deepak Singh,63,Male,Associate,0.31
PER_0152,Tariq Verma,39,Male,Associate,0.44
PER_0153,Rahul Shah,21,Male,Informant,0.87
PER_0154,Bilal Reddy,52,Female,Kingpin,0.74
PER_0155,Tariq Ali,28,Male,Money Launderer,0.4
PER_0156,Imran Ali,24,Female,Associate,0.95
PER_0157,Dev Yadav,21,Male,Smuggler,0.66
PER_0158,Amit Kumar,24,Male,Lieutenant,0.78
PER_0159,Kabir Mehta,29,Male,Kingpin,0.14
PER_0160,Sai Malhotra,41,Male,Enforcer,0.32
PER_0161,Tariq Pandey,62,Male,Enforcer,0.26
PER_0162,Farhan Mishra,62,Male,Enforcer,0.31
PER_0163,Suresh Mehta,35,Male,Courier,0.9
PER_0164,Ananya Patel,47,Female,Money Launderer,0.67
PER_0165,Zubair Rao,35,Male,Money Launderer,0.28
PER_0166,Farhan Shah,25,Male,Informant,0.61
PER_0167,Amit Sharma,61,Male,Kingpin,0.6
PER_0168,Sai Mishra,50,Male,Money Launderer,0.79
PER_0169,Neha Mishra,41,Male,Smuggler,0.65
PER_0170,Vikram Ali,25,Female,Kingpin,0.37
PER_0171,Bilal Verma,56,Male,Enforcer,0.18
PER_0172,Amit Joshi,45,Male,Enforcer,0.8
PER_0173,Ajay Deshmukh,51,Female,Enforcer,0.33
PER_0174,Anil Malhotra,40,Male,Courier,0.96
PER_0175,Rahul Kumar,62,Male,Associate,0.96
PER_0176,Ajay Patel,44,Male,Lieutenant,0.5
PER_0177,Suresh Pandey,43,Male,Informant,0.2
PER_0178,Neha Shah,20,Male,Informant,0.91
PER_0179,Neha Ali,23,Male,Courier,0.91
PER_0180,Rajesh Ali,45,Male,Kingpin,0.94
PER_0181,Rajesh Shah,26,Male,Enforcer,0.45
PER_0182,Ajay Hussain,63,Female,Associate,0.62
PER_0183,Rahul Bose,60,Male,Courier,0.65
PER_0184,Ramesh Verma,63,Male,Courier,0.5
PER_0185,Priya Choudhury,25,Female,Informant,0.58
PER_0186,Manoj Verma,44,Male,Lieutenant,0.94
PER_0187,Sanjay Patel,61,Male,Kingpin,0.15
PER_0188,Sunil Kumar,27,Male,Smuggler,0.16
PER_0189,Pooja Pandey,32,Male,Smuggler,0.39
PER_0190,Rahul Mishra,19,Male,Enforcer,0.98
PER_0191,Suresh Khan,26,Male,Kingpin,0.22
PER_0192,Manoj Kumar,56,Male,Enforcer,0.34
PER_0193,Vikram Pillai,45,Male,Lieutenant,0.52
PER_0194,Ajay Deshmukh,56,Male,Smuggler,0.94
PER_0195,Aditya Pillai,61,Male,Courier,0.67
PER_0196,Vihaan Verma,49,Male,Associate,0.71
PER_0197,Dev Rao,47,Male,Lieutenant,0.39
PER_0198,Rahul Patel,27,Male,Informant,0.44
PER_0199,Amit Mehta,51,Male,Lieutenant,0.81
PER_0200,Rohan Ali,60,Female,Smuggler,0.48
PER_0201,Neha Bose,40,Male,Associate,0.47
PER_0202,Kabir Joshi,46,Male,Money Launderer,0.43
PER_0203,Rahul Hussain,49,Male,Lieutenant,0.18
PER_0204,Kabir Pillai,42,Male,Kingpin,0.62
PER_0205,Sunil Hussain,26,Male,Associate,0.87
PER_0206,Sai Malhotra,57,Male,Lieutenant,0.61
PER_0207,Pooja Nair,61,Male,Lieutenant,0.41
PER_0208,Ajay Reddy,36,Male,Associate,0.85
PER_0209,Vihaan Mishra,61,Male,Money Launderer,0.13
PER_0210,Ramesh Rao,38,Female,Informant,0.11
PER_0211,Rahul Pandey,61,Male,Enforcer,0.76
PER_0212,Vihaan Patel,52,Male,Associate,0.5
PER_0213,Ananya Choudhury,38,Male,Lieutenant,0.89
PER_0214,Rahul Khan,58,Male,Lieutenant,0.34
PER_0215,Zubair Shah,57,Male,Money Launderer,0.29
PER_0216,Rohan Choudhury,46,Male,Courier,0.57
PER_0217,Rajesh Verma,33,Male,Kingpin,0.11
PER_0218,Rajesh Singh,27,Male,Money Launderer,0.39
PER_0219,Aarav Shah,46,Male,Associate,0.57
PER_0220,Neha Deshmukh,54,Male,Informant,0.16
PER_0221,Aditya Bose,20,Male,Lieutenant,0.87
PER_0222,Zubair Pandey,44,Male,Associate,0.36
PER_0223,Imran Sharma,39,Male,Courier,0.84
PER_0224,Ajay Patel,46,Male,Smuggler,0.49
PER_0225,Imran Deshmukh,24,Male,Money Launderer,0.76
PER_0226,Neha Joshi,29,Male,Lieutenant,0.57
PER_0227,Isha Choudhury,41,Male,Enforcer,0.31
PER_0228,Rahul Gupta,31,Male,Enforcer,0.78
PER_0229,Reyansh Khan,59,Male,Courier,0.71
PER_0230,Deepak Ali,39,Male,Lieutenant,0.52
PER_0231,Rajesh Gupta,56,Male,Lieutenant,0.38
PER_0232,Bilal Verma,22,Male,Money Launderer,0.17
PER_0233,Arjun Mishra,57,Male,Courier,0.62
PER_0234,Aditya Mehta,55,Male,Informant,0.64
PER_0235,Rahul Verma,47,Male,Informant,0.97
PER_0236,Arjun Deshmukh,60,Male,Smuggler,0.73
PER_0237,Bilal Deshmukh,52,Male,Informant,0.43
PER_0238,Amit Das,45,Male,Kingpin,0.8
PER_0239,Sunil Patel,40,Male,Associate,0.35
PER_0240,Rahul Joshi,24,Male,Enforcer,0.92
PER_0241,Rajesh Ali,63,Male,Enforcer,0.63
PER_0242,Arjun Malhotra,54,Male,Informant,0.82
PER_0243,Arjun Ali,61,Male,Informant,0.12
PER_0244,Rajesh Khan,32,Male,Courier,0.27
PER_0245,Vikram Nair,23,Male,Lieutenant,0.55
PER_0246,Aditya Hussain,40,Female,Enforcer,0.63
PER_0247,Rahul Khan,30,Male,Enforcer,0.74
PER_0248,Aditya Bose,42,Male,Smuggler,0.96
PER_0249,Amit Pillai,47,Male,Smuggler,0.38
PER_0250,Anil Singh,42,Male,Courier,0.51
PER_0251,Amit Das,51,Male,Enforcer,0.83
PER_0252,Vikram Gupta,22,Male,Informant,0.59
PER_0253,Kabir Rao,52,Female,Money Launderer,0.17
PER_0254,Ananya Gupta,47,Female,Enforcer,0.84
PER_0255,Arjun Kumar,47,Female,Kingpin,0.47
PER_0256,Imran Deshmukh,42,Male,Lieutenant,0.43
PER_0257,Vihaan Joshi,25,Male,Informant,0.8
PER_0258,Vikram Verma,37,Female,Courier,0.72
PER_0259,Vikram Rao,49,Male,Kingpin,0.91
PER_0260,Vihaan Gupta,32,Male,Associate,0.2
PER_0261,Amit Kumar,38,Male,Smuggler,0.47
PER_0262,Sanjay Patel,26,Male,Courier,0.63
PER_0263,Vihaan Ali,51,Male,Enforcer,0.36
PER_0264,Aarav Mishra,41,Male,Associate,0.27
PER_0265,Arjun Deshmukh,42,Male,Kingpin,0.45
PER_0266,Anil Verma,59,Male,Informant,0.33
PER_0267,Vihaan Choudhury,23,Male,Lieutenant,0.79
PER_0268,Sunil Nair,21,Male,Informant,0.82
PER_0269,Diya Hussain,48,Female,Courier,0.66
PER_0270,Vikram Patel,64,Male,Courier,0.13
PER_0271,Isha Verma,31,Female,Informant,0.93
PER_0272,Imran Yadav,49,Male,Smuggler,0.35
PER_0273,Sai Ali,40,Male,Informant,0.49
PER_0274,Imran Pillai,47,Female,Associate,0.4
PER_0275,Diya Shah,63,Male,Money Launderer,0.81
PER_0276,Zubair Patel,46,Male,Enforcer,0.59
PER_0277,Deepak Reddy,24,Male,Money Launderer,0.37
PER_0278,Zubair Khan,63,Male,Courier,0.14
PER_0279,Manoj Mishra,46,Male,Kingpin,0.17
PER_0280,Imran Choudhury,51,Male,Enforcer,0.95
PER_0281,Rahul Mishra,62,Male,Kingpin,0.21
PER_0282,Priya Ali,42,Male,Kingpin,0.64
PER_0283,Bilal Choudhury,42,Male,Lieutenant,0.61
PER_0284,Ajay Das,39,Male,Smuggler,0.95
PER_0285,Vihaan Pillai,30,Male,Associate,0.91
PER_0286,Rohan Gupta,35,Male,Smuggler,0.99
PER_0287,Amit Rao,50,Male,Enforcer,0.86
PER_0288,Bilal Khan,64,Male,Lieutenant,0.82
PER_0289,Deepak Hussain,41,Male,Money Launderer,0.89
PER_0290,Ananya Rao,64,Female,Enforcer,0.81
PER_0291,Neha Reddy,31,Male,Smuggler,0.8
PER_0292,Vihaan Choudhury,54,Male,Courier,0.82
PER_0293,Vikram Mishra,24,Male,Associate,0.99
PER_0294,Anil Deshmukh,45,Male,Lieutenant,0.21
PER_0295,Deepak Ali,23,Male,Informant,0.21
PER_0296,Diya Nair,46,Male,Kingpin,0.84
PER_0297,Rahul Malhotra,29,Male,Smuggler,0.41
PER_0298,Amit Patel,35,Male,Money Launderer,0.21
PER_0299,Rajesh Mishra,53,Male,Enforcer,0.63
PER_0300,Rahul Khan,61,Male,Informant,0.85
PER_0301,Aditya Sharma,24,Male,Money Launderer,0.68
PER_0302,Tariq Mishra,59,Male,Money Launderer,0.67
PER_0303,Rajesh Shah,34,Male,Associate,0.36
PER_0304,Reyansh Rao,22,Male,Associate,0.53
PER_0305,Pooja Joshi,57,Male,Informant,0.75
PER_0306,Manoj Das,27,Male,Lieutenant,0.38
PER_0307,Sanjay Reddy,36,Male,Enforcer,0.19
PER_0308,Amit Das,58,Male,Enforcer,0.82
PER_0309,Deepak Singh,29,Male,Courier,0.54
PER_0310,Rajesh Shah,20,Male,Associate,0.55
PER_0311,Priya Singh,56,Male,Kingpin,0.35
PER_0312,Anil Malhotra,53,Male,Lieutenant,0.48
PER_0313,Suresh Pillai,42,Male,Informant,0.14
PER_0314,Sai Pandey,54,Male,Money Launderer,0.17
PER_0315,Bilal Yadav,36,Male,Lieutenant,0.21
PER_0316,Kabir Das,42,Male,Informant,0.6
PER_0317,Ajay Nair,31,Male,Associate,0.55
PER_0318,Aditya Verma,27,Male,Courier,0.56
PER_0319,Rahul Mishra,51,Male,Informant,0.24
PER_0320,Rajesh Pandey,40,Male,Courier,0.73
PER_0321,Rajesh Shah,20,Male,Lieutenant,0.97
PER_0322,Rajesh Pillai,63,Male,Courier,0.34
PER_0323,Neha Pillai,22,Male,Enforcer,0.57
PER_0324,Farhan Nair,62,Male,Lieutenant,0.27
PER_0325,Bilal Joshi,45,Male,Smuggler,0.47
PER_0326,Anil Pillai,65,Male,Enforcer,0.56
PER_0327,Deepak Hussain,49,Male,Informant,0.95
PER_0328,Sanjay Yadav,40,Male,Money Launderer,0.64
PER_0329,Isha Kumar,36,Male,Smuggler,0.94
PER_0330,Rajesh Malhotra,64,Male,Courier,0.38
PER_0331,Manoj Yadav,65,Male,Lieutenant,0.61
PER_0332,Farhan Das,41,Female,Enforcer,0.36
PER_0333,Amit Rao,24,Male,Courier,0.68
PER_0334,Anil Singh,31,Male,Money Launderer,0.93
PER_0335,Ramesh Nair,25,Male,Smuggler,0.32
PER_0336,Neha Ali,33,Male,Associate,0.39
PER_0337,Anil Reddy,62,Male,Kingpin,0.96
PER_0338,Ananya Bose,60,Female,Courier,0.52
PER_0339,Isha Malhotra,39,Male,Kingpin,0.91
PER_0340,Arjun Ali,55,Male,Kingpin,0.91
PER_0341,Diya Bose,30,Female,Kingpin,0.99
PER_0342,Imran Shah,30,Female,Money Launderer,0.88
PER_0343,Aarav Malhotra,55,Male,Informant,0.35
PER_0344,Dev Nair,51,Male,Smuggler,0.82
PER_0345,Sunil Khan,65,Male,Money Launderer,0.74
PER_0346,Aarav Pillai,40,Male,Smuggler,0.26
PER_0347,Imran Bose,51,Male,Associate,0.7
PER_0348,Diya Nair,49,Male,Smuggler,0.11
PER_0349,Farhan Kumar,47,Male,Informant,0.37
PER_0350,Aarav Gupta,60,Male,Smuggler,0.16
PER_0351,Rohan Mehta,38,Male,Money Launderer,0.71
PER_0352,Amit Choudhury,58,Male,Enforcer,0.53
PER_0353,Sanjay Pillai,57,Male,Courier,0.77
PER_0354,Pooja Kumar,62,Male,Lieutenant,0.57
PER_0355,Ajay Patel,55,Male,Smuggler,0.61
PER_0356,Rahul Khan,39,Female,Courier,0.2
PER_0357,Pooja Rao,56,Male,Courier,0.82
PER_0358,Sanjay Nair,51,Male,Kingpin,0.6
PER_0359,Rajesh Pillai,20,Male,Kingpin,0.76
PER_0360,Reyansh Verma,46,Male,Lieutenant,0.58
PER_0361,Sai Patel,49,Male,Associate,0.26
PER_0362,Vikram Ali,65,Male,Associate,0.43
PER_0363,Farhan Mehta,43,Male,Enforcer,0.68
PER_0364,Manoj Reddy,30,Female,Associate,0.57
PER_0365,Neha Sharma,20,Female,Courier,0.7
PER_0366,Zubair Yadav,43,Male,Smuggler,0.51
PER_0367,Rahul Gupta,31,Female,Lieutenant,0.13
PER_0368,Tariq Mishra,20,Male,Lieutenant,0.19
PER_0369,Aditya Mehta,57,Male,Kingpin,0.32
PER_0370,Aditya Das,47,Male,Smuggler,0.77
PER_0371,Sai Nair,51,Female,Smuggler,0.83
PER_0372,Deepak Pandey,57,Male,Informant,0.31
PER_0373,Rahul Hussain,52,Male,Money Launderer,0.34
PER_0374,Diya Ali,62,Male,Courier,0.14
PER_0375,Manoj Ali,61,Male,Informant,0.72
PER_0376,Tariq Nair,38,Male,Courier,0.31
PER_0377,Neha Malhotra,64,Male,Courier,0.91
PER_0378,Tariq Bose,54,Male,Associate,0.32
PER_0379,Pooja Joshi,60,Male,Courier,0.85
PER_0380,Arjun Yadav,65,Male,Kingpin,0.34
PER_0381,Aditya Patel,31,Male,Smuggler,0.53
PER_0382,Sunil Malhotra,19,Male,Smuggler,0.96
PER_0383,Rohan Pillai,49,Female,Smuggler,0.45
PER_0384,Priya Yadav,39,Male,Associate,0.51
PER_0385,Manoj Malhotra,35,Male,Courier,0.51
PER_0386,Anil Joshi,32,Male,Associate,0.14
PER_0387,Neha Pillai,28,Male,Associate,0.36
PER_0388,Isha Joshi,33,Male,Smuggler,0.54
PER_0389,Sunil Gupta,50,Female,Courier,0.51
PER_0390,Manoj Khan,27,Male,Courier,0.26
PER_0391,Sai Deshmukh,21,Male,Lieutenant,0.94
PER_0392,Sai Sharma,45,Male,Smuggler,0.16
PER_0393,Rahul Sharma,32,Male,Informant,0.15
PER_0394,Anil Hussain,50,Male,Associate,0.11
PER_0395,Ramesh Yadav,37,Male,Associate,0.82
PER_0396,Diya Reddy,25,Male,Smuggler,0.27
PER_0397,Suresh Choudhury,36,Male,Lieutenant,0.43
PER_0398,Imran Mehta,55,Male,Smuggler,0.37
PER_0399,Arjun Ali,60,Male,Lieutenant,0.46
PER_0400,Farhan Yadav,49,Male,Kingpin,0.73
PER_0401,Arjun Shah,46,Male,Informant,0.6
PER_0402,Kabir Deshmukh,21,Male,Courier,0.34
PER_0403,Reyansh Hussain,36,Female,Kingpin,0.26
PER_0404,Deepak Sharma,32,Male,Associate,0.93
PER_0405,Rajesh Khan,55,Male,Associate,0.7
PER_0406,Sunil Das,27,Male,Lieutenant,0.55
PER_0407,Manoj Verma,25,Male,Lieutenant,0.4
PER_0408,Imran Joshi,20,Male,Courier,0.54
PER_0409,Manoj Yadav,43,Male,Associate,0.18
PER_0410,Amit Kumar,64,Male,Money Launderer,0.24
PER_0411,Rahul Pillai,43,Male,Lieutenant,0.18
PER_0412,Rajesh Mehta,42,Male,Lieutenant,0.22
PER_0413,Diya Bose,47,Male,Associate,0.19
PER_0414,Arjun Choudhury,54,Male,Informant,0.87
PER_0415,Aarav Malhotra,45,Male,Lieutenant,0.75
PER_0416,Priya Pandey,52,Male,Associate,0.25
PER_0417,Ramesh Malhotra,36,Male,Lieutenant,0.25
PER_0418,Ramesh Bose,38,Male,Lieutenant,0.42
PER_0419,Priya Pillai,59,Male,Smuggler,0.51
PER_0420,Vikram Malhotra,19,Female,Informant,0.85
PER_0421,Farhan Joshi,47,Male,Enforcer,0.37
PER_0422,Isha Shah,39,Male,Associate,0.96
PER_0423,Amit Pillai,63,Male,Smuggler,0.39
PER_0424,Ramesh Das,42,Male,Smuggler,0.63
PER_0425,Diya Hussain,54,Male,Courier,0.94
PER_0426,Pooja Mehta,37,Male,Lieutenant,0.83
PER_0427,Tariq Hussain,50,Male,Money Launderer,0.32
PER_0428,Rahul Rao,46,Male,Lieutenant,0.5
PER_0429,Anil Pandey,44,Male,Associate,0.58
PER_0430,Ajay Rao,53,Male,Lieutenant,0.2
PER_0431,Priya Hussain,61,Male,Kingpin,0.6
PER_0432,Imran Joshi,46,Male,Lieutenant,0.33
PER_0433,Neha Mehta,42,Male,Enforcer,0.41
PER_0434,Vihaan Shah,25,Male,Lieutenant,0.2
PER_0435,Rahul Choudhury,38,Male,Smuggler,0.56
PER_0436,Manoj Shah,25,Male,Courier,0.38
PER_0437,Rajesh Verma,64,Male,Informant,0.68
PER_0438,Ananya Pillai,34,Male,Enforcer,0.39
PER_0439,Zubair Mehta,33,Male,Enforcer,0.27
PER_0440,Zubair Das,20,Male,Smuggler,0.5
PER_0441,Zubair Das,19,Male,Smuggler,0.35
PER_0442,Reyansh Pandey,25,Male,Enforcer,0.43
PER_0443,Isha Mehta,26,Male,Courier,0.57
PER_0444,Deepak Mishra,43,Male,Lieutenant,0.41
PER_0445,Sanjay Mishra,30,Male,Money Launderer,0.92
PER_0446,Arjun Hussain,27,Male,Smuggler,0.37
PER_0447,Diya Choudhury,63,Male,Associate,0.47
PER_0448,Vikram Pandey,43,Male,Courier,0.67
PER_0449,Diya Yadav,29,Male,Enforcer,0.27
PER_0450,Bilal Mishra,22,Female,Kingpin,0.53
PER_0451,Isha Das,54,Male,Courier,0.46
PER_0452,Dev Bose,64,Male,Courier,0.25
PER_0453,Vihaan Kumar,37,Male,Smuggler,0.58
PER_0454,Ananya Mehta,55,Male,Courier,0.59
PER_0455,Rohan Pandey,26,Male,Informant,0.58
PER_0456,Aditya Pillai,47,Male,Associate,0.19
PER_0457,Priya Malhotra,21,Male,Informant,0.87
PER_0458,Arjun Mehta,26,Male,Smuggler,0.29
PER_0459,Manoj Rao,58,Male,Enforcer,0.65
PER_0460,Pooja Singh,22,Male,Money Launderer,0.63
PER_0461,Ananya Joshi,64,Male,Money Launderer,0.95
PER_0462,Kabir Nair,45,Female,Money Launderer,0.87
PER_0463,Vikram Rao,27,Male,Informant,0.84
PER_0464,Imran Shah,28,Male,Money Launderer,0.66
PER_0465,Farhan Mehta,23,Male,Lieutenant,0.46
PER_0466,Ramesh Rao,42,Male,Courier,0.39
PER_0467,Aarav Pillai,24,Male,Courier,0.67
PER_0468,Manoj Patel,53,Male,Associate,0.83
PER_0469,Dev Gupta,39,Male,Informant,0.59
PER_0470,Vikram Pandey,50,Male,Kingpin,0.14
PER_0471,Sanjay Sharma,26,Female,Enforcer,0.49
PER_0472,Aarav Bose,31,Female,Enforcer,0.89
PER_0473,Rajesh Khan,36,Male,Informant,0.32
PER_0474,Ajay Hussain,60,Male,Associate,0.66
PER_0475,Neha Bose,60,Male,Lieutenant,0.1
PER_0476,Anil Patel,27,Male,Courier,0.11
PER_0477,Sunil Reddy,46,Male,Courier,0.16
PER_0478,Farhan Patel,65,Male,Lieutenant,0.38
PER_0479,Rajesh Nair,43,Male,Enforcer,0.67
PER_0480,Rahul Patel,52,Male,Enforcer,0.49
